model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,500,64,32,16,16,0.010068081094726,0.1003398280580848,0.0821440212050862,-0.4723817613438696
double_lstm_with_attention,500,64,32,16,32,0.0020393243030569,0.0451588784521603,0.0397417940138904,0.7017640321888841
double_lstm_with_attention,500,64,32,16,64,0.0042736975924857,0.0653735236352281,0.0559225274750038,0.375003605009558
double_lstm_with_attention,500,64,32,32,4,0.000880747153905,0.0296773845529734,0.0245158890833643,0.8711972983168912
double_lstm_with_attention,500,64,32,32,8,0.0123070744389653,0.110937254513375,0.102876812141113,-0.7998178370778237
double_lstm_with_attention,500,64,32,32,16,0.0047959949154856,0.069253122063093,0.063078532959931,0.2986215173854648
double_lstm_with_attention,500,64,32,32,32,0.0103134040188926,0.1015549310417402,0.0937433733431539,-0.5082584091165654
double_lstm_with_attention,500,64,32,32,64,0.0017256318108757,0.0415407247273778,0.0363240822836983,0.7476392193087082
double_lstm_with_attention,500,64,32,64,4,0.0023885280341209,0.0488725693423312,0.0466858280717503,0.6506955912641108
double_lstm_with_attention,500,64,32,64,8,0.0035266301389641,0.0593854370949997,0.0505591009373845,0.4842566476409827
double_lstm_with_attention,500,64,32,64,16,0.007523921755068,0.0867405427413736,0.0796048259073131,-0.1003174350416806
double_lstm_with_attention,500,64,32,64,32,0.0072305936219324,0.0850328972923567,0.0768487137371119,-0.0574203835326208
double_lstm_with_attention,500,64,32,64,64,0.0233427569957412,0.1527833662272868,0.1465612557997554,-2.413704094816559
double_lstm_with_attention,500,64,64,4,4,0.0037630427965532,0.0613436451195498,0.0560072454921751,0.4496830598927309
double_lstm_with_attention,500,64,64,4,8,0.010068081094726,0.1003398280580848,0.0821440212050862,-0.4723817613438696
double_lstm_with_attention,500,64,64,4,16,0.010068081094726,0.1003398280580848,0.0821440212050862,-0.4723817613438696
double_lstm_with_attention,500,64,64,4,32,0.0073590158419705,0.0857847063407608,0.0776340909422599,-0.0762011752998221
double_lstm_with_attention,500,64,64,4,64,0.0100680827870903,0.1003398364912477,0.082144027702892,-0.4723820088395249
double_lstm_with_attention,500,64,64,8,4,0.010068081094726,0.1003398280580848,0.0821440212050862,-0.4723817613438696
double_lstm_with_attention,500,64,64,8,8,0.0022552340463579,0.0474893045470028,0.0421291594776346,0.67018884272211
double_lstm_with_attention,500,64,64,8,16,0.010068081094726,0.1003398280580848,0.0821440212050862,-0.4723817613438696
double_lstm_with_attention,500,64,64,8,32,0.009737526412739,0.0986789056117824,0.0808628361281096,-0.424040604741609
double_lstm_with_attention,500,64,64,8,64,0.0221337856171745,0.1487742774043099,0.1426402469156535,-2.236901048531924
double_lstm_with_attention,500,64,64,16,4,0.010068081094726,0.1003398280580848,0.0821440212050862,-0.4723817613438696
double_lstm_with_attention,500,64,64,16,8,0.0037824747487758,0.0615018271986762,0.053118894228188,0.4468412818249339
double_lstm_with_attention,500,64,64,16,16,0.0006941494408575,0.0263467159406555,0.022020157707607,0.8984858220002667
double_lstm_with_attention,500,64,64,16,32,0.010068081094726,0.1003398280580848,0.0821440212050862,-0.4723817613438696
double_lstm_with_attention,500,64,64,16,64,0.0318166613100161,0.1783722548773101,0.1580293194935064,-3.652949393133353
double_lstm_with_attention,500,64,64,32,4,0.0091058544751593,0.095424600995547,0.0782894566943507,-0.3316632955707157
double_lstm_with_attention,500,64,64,32,8,0.010068081094726,0.1003398280580848,0.0821440212050862,-0.4723817613438696
double_lstm_with_attention,500,64,64,32,16,0.010731988796293,0.1035953126173816,0.0961359144957573,-0.5694733105483196
double_lstm_with_attention,500,64,64,32,32,0.0064260854419106,0.0801628682240763,0.0614658980016415,0.0602329368937164
double_lstm_with_attention,500,64,64,32,64,0.019499661564279,0.1396411886381629,0.1289231151598867,-1.851680053973956
double_lstm_with_attention,500,64,64,64,4,0.0076503741863918,0.0874664174777485,0.0719693667775561,-0.118810159902249
double_lstm_with_attention,500,64,64,64,8,0.007993803940463,0.0894080753649416,0.0733755703473563,-0.1690341997604734
double_lstm_with_attention,500,64,64,64,16,0.0100680827870903,0.1003398364912477,0.082144027702892,-0.4723820088395249
double_lstm_with_attention,500,64,64,64,32,0.0057688958712677,0.0759532479309986,0.0690479783045923,0.1563420095616818
double_lstm_with_attention,500,64,64,64,64,0.0102275193327137,0.1011311986120688,0.0827513922235411,-0.4956984143848186
double_lstm_with_attention,500,128,4,4,4,0.0073171834109329,0.0855405366532904,0.0709172281168857,-0.0700834942925885
double_lstm_with_attention,500,128,4,4,8,0.0002655515943192,0.0162957538739151,0.0141693368691418,0.961165060105026
double_lstm_with_attention,500,128,4,4,16,0.0006502068729924,0.0254991543583788,0.021018775121118,0.9049120947788176
double_lstm_with_attention,500,128,4,4,32,0.0001393685379662,0.0118054452675979,0.0100120904832027,0.979618390885413
double_lstm_with_attention,500,128,4,4,64,9.4364573021579e-05,0.0097141429380866,0.0074992696376434,0.986199885069782
