model,epochs,batchsize,units1,units2,units3,MSE,RMSE,MAE,AR2
double_lstm_with_attention,500,64,8,32,8,0.0137846029462486,0.1174078487421033,0.1119563313024344,-1.9472240965335343
double_lstm_with_attention,500,64,8,32,16,0.0078700332982996,0.0887132081389218,0.0852851667324868,-0.6826565021651467
double_lstm_with_attention,500,64,8,32,32,0.0004095775933408,0.020238023454401,0.0146074048285756,0.9124300527768928
double_lstm_with_attention,500,64,8,32,64,0.011654588281073,0.1079564184338895,0.1041788733891349,-1.4918152195673904
double_lstm_with_attention,500,64,8,64,4,0.0063563905484249,0.0797269750362129,0.077413735280053,-0.3590313383958707
double_lstm_with_attention,500,64,8,64,8,0.0044439604542528,0.0666630366414013,0.0636041649198919,0.0498567578705357
double_lstm_with_attention,500,64,8,64,16,0.0075965982668034,0.0871584664091991,0.0842967848872024,-0.6241945851404516
double_lstm_with_attention,500,64,8,64,32,0.0072745642125186,0.0852910558764435,0.0814797141267153,-0.5553419291449413
double_lstm_with_attention,500,64,8,64,64,0.0039201936840971,0.0626114501037724,0.0590411865272061,0.1618409805562041
double_lstm_with_attention,500,64,16,4,4,0.0124954481930985,0.1117830407221887,0.1069460797859081,-1.6715957039378115
double_lstm_with_attention,500,64,16,4,8,0.0050148474777086,0.0708155878158799,0.0679789864375354,-0.0722020347176879
double_lstm_with_attention,500,64,16,4,16,0.0059959135178972,0.0774332843026644,0.0737745728933009,-0.2819593621655287
double_lstm_with_attention,500,64,16,4,32,0.0069137273915145,0.0831488267596997,0.078852454740208,-0.4781930277274271
double_lstm_with_attention,500,64,16,4,64,0.0012418676040723,0.0352401419417168,0.0320098869423485,0.7344818605440889
double_lstm_with_attention,500,64,16,8,4,0.0082028146083913,0.0905693911230022,0.0866549548279242,-0.7538069806956229
double_lstm_with_attention,500,64,16,8,8,0.0032174939850305,0.0567229581830012,0.0537103502521615,0.3120820497978676
double_lstm_with_attention,500,64,16,8,16,0.0028741297287595,0.0536109105384304,0.0498538775182145,0.3854952205591895
double_lstm_with_attention,500,64,16,8,32,0.0093143228552379,0.0965107395849704,0.0913460689433913,-0.9914535709801552
double_lstm_with_attention,500,64,16,8,64,0.0028979999426263,0.053833074801894,0.0509401710455234,0.3803916372516566
double_lstm_with_attention,500,64,16,16,4,0.0043373273943978,0.0658583889447494,0.0621095169454448,0.07265549387454
double_lstm_with_attention,500,64,16,16,8,0.0068126946058922,0.0825390489761797,0.0791029551003729,-0.4565916612254508
double_lstm_with_attention,500,64,16,16,16,0.0051453069608775,0.0717307950665372,0.0685395105466031,-0.1000949913676647
double_lstm_with_attention,500,64,16,16,32,0.001643527454165,0.0405404422048536,0.0356033366099146,0.648604770473425
double_lstm_with_attention,500,64,16,16,64,0.069805853220213,0.2642079734228568,0.2571386722372242,-13.924876218192685
double_lstm_with_attention,500,64,16,32,4,0.0011011886601625,0.0331841627913459,0.0312759034411951,0.7645597942344965
double_lstm_with_attention,500,64,16,32,8,0.005500969385093,0.0741685201759687,0.0704800488750524,-0.1761375782283043
double_lstm_with_attention,500,64,16,32,16,0.003676195719288,0.0606316395893109,0.0592850058217635,0.2140090904535017
double_lstm_with_attention,500,64,16,32,32,0.0058744213597782,0.076644773858224,0.0737497683571324,-0.2559836690429702
double_lstm_with_attention,500,64,16,32,64,0.0096800831346214,0.0983874134969581,0.0936227257187092,-1.0696551349393908
double_lstm_with_attention,500,64,16,64,4,0.005542164076572,0.0744457122779547,0.0709284858783838,-0.184945230349254
double_lstm_with_attention,500,64,16,64,8,0.0086002734359558,0.0927376592111092,0.0890429595030465,-0.8387858689919168
double_lstm_with_attention,500,64,16,64,16,0.010137652668193,0.10068591097166,0.0968377810447289,-1.1674860235359277
double_lstm_with_attention,500,64,16,64,32,0.0098451412417335,0.0992226851165276,0.0949219825043145,-1.1049454681108353
double_lstm_with_attention,500,64,16,64,64,0.0001758631595819,0.0132613407912605,0.0105868103540429,0.9623994870484464
double_lstm_with_attention,500,64,32,4,4,0.0032189010018124,0.0567353593609177,0.0535951147088038,0.3117812218538047
double_lstm_with_attention,500,64,32,4,8,0.0080219426809343,0.0895652984192781,0.0848648951938607,-0.7151355655619112
double_lstm_with_attention,500,64,32,4,16,0.0032149819837732,0.0567008111385827,0.0540115891295074,0.3126191295139
double_lstm_with_attention,500,64,32,4,32,0.0022797983704195,0.0477472341651277,0.0449790509374907,0.5125665411808691
double_lstm_with_attention,500,64,32,4,64,0.0083533499169056,0.0913966625041944,0.0872713041206425,-0.7859922594709625
double_lstm_with_attention,500,64,32,8,4,0.0025477699939449,0.0504754395121527,0.047042607948893,0.4552727308969561
